Price,Bedrooms
320000,3.0
7000000,
3000000,
2699999,
2400000,
2250000,6.0
2000000,
1800000,16.0
1700000,19.0
1700000,20.0
1699950,6.0
1600000,
1600000,5.0
1500000,10.0
1500000,4.0
1500000,7.0
1300000,6.0
1295000,7.0
1287000,7.0
1250000,3.0
1250000,5.0
1244000,4.0
1200000,3.0
1150000,6.0
1150000,6.0
150000,3.0
1125000,6.0
1100000,5.0
1100000,5.0
1100000,4.0
1100000,6.0
1095000,4.0
1095000,3.0
1075000,3.0
1049000,4.0
1000000,2.0
1000000,4.0
1000000,5.0
999999,8.0
999999,
999999,8.0
995000,4.0
995000,5.0
985000,4.0
975000,2.0
975000,6.0
950000,5.0
950000,4.0
950000,4.0
950000,18.0
595000,4.0
940000,5.0
925000,3.0
925000,4.0
925000,5.0
910000,5.0
900000,4.0
900000,4.0
900000,10.0
900000,8.0
900000,7.0
900000,8.0
895000,3.0
895000,6.0
895000,5.0
885000,4.0
875000,4.0
875000,4.0
875000,3.0
850000,4.0
850000,3.0
850000,4.0
850000,3.0
850000,4.0
850000,3.0
328250,2.0
850000,6.0
849950,4.0
840000,4.0
830000,4.0
830000,4.0
825000,3.0
825000,10.0
825000,4.0
825000,3.0
825000,8.0
800000,4.0
800000,4.0
800000,5.0
800000,7.0
800000,7.0
799999,4.0
799950,5.0
799950,3.0
799950,3.0
795000,4.0
795000,3.0
795000,4.0
780000,3.0
780000,3.0
92950,
775000,6.0
775000,5.0
775000,5.0
775000,5.0
775000,4.0
769000,2.0
760000,4.0
755000,4.0
750000,5.0
750000,4.0
750000,6.0
750000,4.0
750000,7.0
750000,6.0
750000,3.0
750000,3.0
750000,5.0
750000,
745000,4.0
735000,3.0
730000,7.0
725000,4.0
725000,4.0
725000,4.0
195000,2.0
720000,6.0
715000,5.0
700000,6.0
700000,3.0
700000,4.0
700000,4.0
700000,4.0
700000,2.0
700000,4.0
700000,7.0
700000,8.0
700000,2.0
700000,5.0
700000,4.0
700000,5.0
700000,6.0
700000,5.0
700000,6.0
699950,6.0
699950,3.0
699000,5.0
695000,4.0
695000,5.0
695000,2.0
695000,2.0
695000,4.0
695000,2.0
695000,4.0
685000,4.0
685000,4.0
680000,5.0
679950,4.0
675000,5.0
675000,4.0
675000,3.0
660000,5.0
655000,3.0
650000,6.0
650000,2.0
650000,3.0
650000,5.0
650000,4.0
650000,4.0
650000,3.0
649950,4.0
649950,3.0
649950,4.0
635000,3.0
625000,5.0
190000,3.0
625000,4.0
625000,3.0
625000,3.0
625000,4.0
625000,4.0
625000,5.0
625000,4.0
625000,3.0
625000,4.0
625000,3.0
625000,4.0
