Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
"Chester Road, Erdington, Birmingham","£320,000",Detached,52.5251,-1.810247,3,2,
"Suttons Drive, Great Barr, B43","£7,000,000",Land,52.559566,-1.927841,,,
"Land at Mary Vale Road/Franklin Way, Bournville, Birmingham, B30 2HP","£3,000,000",,52.42634,-1.93486,,,
"MIXED USE SITE WITH PLANNING FOR CONVERSION 47 APARTMENTS, Erdington, Birmingham, B23","£2,699,999",,52.52244,-1.84093,,,
"Bearwood Parade, Bearwood High Street, West Midlands","£2,400,000",Studio,52.4731,-1.96904,,38,
"Wellington Road, Edgbaston","£2,250,000",Detached,52.462935,-1.909706,6,3,
"Kings Close, Kings Norton, Birmingham, West Midlands, B30","£2,000,000",House,52.40808,-1.92499,,,
"Bournbrook Road, Selly Oak, Birmingham, B29 7BU","£1,800,000",House,52.44333,-1.92757,16,16,
"Handsworth Wood Road, Handsworth Wood, Birmingham, B20 2DH","£1,700,000",,52.516373,-1.925288,19,16,
"Heeley Road, Birmingham","£1,700,000",House,52.439765,-1.932093,20,8,
"Harborne Road, Edgbaston","£1,699,950",Semi-Detached,52.469913,-1.92736,6,5,"4,265 sq. ft."
"Almshouses, 1-10 Church Road, Erdington, Birmingham B24","£1,600,000",,52.520611,-1.835519,,,"2,442 sq. ft."
"Orchard House, Truemans Heath Lane","£1,600,000",Detached,52.39266,-1.86741,5,4,
"Hagley Road, Edgbaston, Birmingham, B17 8BJ","£1,500,000",Detached,52.472496,-1.966464,10,,
"Wellington Road, Edgbaston","£1,500,000",Detached,52.46444,-1.90561,4,2,"3,432 sq. ft."
"Woodbourne Road, Harborne, Birmingham, B17 8DD","£1,500,000",Detached,52.470814,-1.957063,7,,
"Pebble Mill Road, Edgbaston","£1,300,000",Detached,52.452486,-1.91311,6,4,
"Hagley Road West, Harborne, Birmingham, B17 8AL","£1,295,000",Detached,52.471294,-1.969748,7,,
"St. Martin''s Place, Birmingham, B15 1DT","£1,287,000",Apartment,52.473548,-1.916461,7,7,
"Concord House, Marshall Street, B1 1LR","£1,250,000",Penthouse,52.473951,-1.903683,3,3,
"Euan Close, Harborne, Birmingham, B17","£1,250,000",Detached,52.469909,-1.955971,5,3,
"Wake Green Road, Birmingham, West Midlands","£1,244,000",Detached,52.435201,-1.856947,4,4,
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15","£1,200,000",Penthouse,52.46779,-1.943654,3,3,
"Wake Green Road, Moseley, Birmingham, B13","£1,150,000",Detached,52.44328,-1.876944,6,3,
"Hagley Road, Edgbaston, Birmingham, West Midlands, B17 8BJ","£1,150,000",Detached,52.472771,-1.966707,6,,
"Norton Street, Birmingham","£150,000",House,52.493923,-1.92688,3,1,
"Lordswood Road, Birmingham, B17","£1,125,000",Detached,52.471343,-1.96848,6,3,
"Hagley Road West, Birmingham, B17","£1,100,000",Detached,52.46987,-1.97184,5,3,
"Priory Road, Birmingham, B5","£1,100,000",Detached,52.45635,-1.91151,5,3,"2,685 sq. ft."
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15","£1,100,000",Detached,52.46779,-1.943654,4,3,
"Moorland Road, Edgbaston","£1,100,000",Detached,52.47452,-1.946496,6,3,
"Gilmorton Close, Harborne, Birmingham, B17 8QR","£1,095,000",Detached,52.464108,-1.962187,4,,
"St Pauls House, 21 - 23 St. Pauls Square, Jewellery Quarter","£1,095,000",Penthouse,52.48574,-1.90483,3,2,"1,985 sq. ft."
Water Street,"£1,075,000",Penthouse,52.4852,-1.90291,3,3,"2,310 sq. ft."
"1 - 4 Great Hampton Street, Birmingham, B18 6AQ","£1,049,000",Apartment,52.48907,-1.90747,4,3,"2,300 sq. ft."
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15","£1,000,000",Apartment,52.46779,-1.943654,2,2,
"Hamstead Hill, Handsworth Wood, Birmingham, B20 1BN","£1,000,000",Detached,52.522282,-1.930642,4,3,
"St Agnes Road, Moseley, Birmingham, B13","£1,000,000",Detached,52.439031,-1.873135,5,1,
"Wake Green Road, Birmingham B13 9PG","£999,999",Detached,52.442101,-1.87635,8,3,
"3 Retail Investments- High Street - £97,500 Rent, Erdington, Birmingham, B23","£999,999",,52.522501,-1.840865,,,
"Wake Green Road, Moseley","£999,999",Detached,52.442821,-1.8746,8,4,
"Knightlow Road , Harborne","£995,000",Detached,52.468422,-1.964107,4,2,
19 Serpentine Road,"£995,000",Detached,52.44413,-1.92551,5,2,"2,859 sq. ft."
"Wythall, Birmingham","£985,000",Detached,52.369244,-1.876585,4,2,
"Viceroy House, Water Street, Birmingham","£975,000",Apartment,52.4852,-1.90291,2,3,
"School Road, Moseley, Birmingham, West Midlands, B13","£975,000",Semi-Detached,52.441562,-1.885822,6,3,
"Aston Bury, Edgbaston","£950,000",Detached,52.467464,-1.942783,5,2,
"Moorcroft Road, Birmingham, West Midlands, B13","£950,000",Detached,52.44726,-1.89755,4,3,
"Groveley Hall, Birmingham Road, Birmingham, B31 4UH","£950,000",Detached,52.386837,-1.960108,4,2,
Pershore Road,"£950,000",House of Multiple Occupation,52.43829,-1.91611,18,6,
"The Copperworks, 5 Sloane Street, Birmingham, B1 3DZ","£595,000",Town House,52.483387,-1.913131,4,4,
"Serpentine Road, Selly Park, Birmingham","£940,000",Detached,52.443591,-1.923805,5,2,"2,606 sq. ft."
Water Street,"£925,000",Penthouse,52.4852,-1.90291,3,3,"1,925 sq. ft."
